run_id,iface,broker,port,mode,n_app,lam,qos,payload_bytes,duration_s,publish_count,semantic_updates,tx_bytes,tx_kbps,cpu_user_s,cpu_system_s,wall_s,idle_kbps_before,started_ns,ended_ns,rx_msgs,rx_bytes_payload,p50_ms,p95_ms,p99_ms,max_ms,mean_ms,cpu_total_s,idle_tx_bytes_est,tx_bytes_eff,s_wire_per_publish_B_raw,s_wire_per_publish_B,s_wire_per_update_B_raw,s_wire_per_update_B,tx_kbps_eff,expected_rx_msgs,rx_loss_ratio_raw,rx_loss_ratio,flag_missing_subscriber,flag_negative_latency,flag_busy_idle
wifi_full-072-1770418337,wlan0,192.168.2.100,1883,uns,1,50.0,1,1024,60.0,3000.0,3000.0,3363346.0,448.445695934353,0.0,0.5500000000000007,60.00005852199956,0.0,1770418337136077494,1770418397634026520,3000,3072000,0.024591000000000002,5.584490149999976,45.13162938999999,254.569195,1.9119830670000002,0.5500000000000007,0.0,3363346.0,1121.1153333333334,1121.1153333333334,1121.1153333333334,1121.1153333333334,448.445695934353,3000.0,0.0,0.0,False,False,False
wifi_full-009-1770414431,wlan0,192.168.2.100,1883,replication,1,50.0,0,256,60.0,3000.0,3000.0,1036775.0,138.23653661373302,0.19999999999999996,0.01999999999999999,60.00005644800001,0.0,1770414431060167045,1770414491558896337,3000,768000,1.909445,86.65007814999998,128.30238037999996,334.618123,12.353647614333333,0.21999999999999995,0.0,1036775.0,345.59166666666664,345.59166666666664,345.59166666666664,345.59166666666664,138.23653661373302,3000.0,0.0,0.0,False,False,False
wifi_full-110-1770420693,wlan0,192.168.2.100,1883,uns,50,2.0,0,1024,60.0,120.0,120.0,134094.0,17.879182091615462,0.010000000000005116,0.0,60.00006009799927,0.0,1770420693181888837,1770420753682448530,120,122880,2.7093675,4.660309149999997,17.439360380000025,215.815341,4.794922458333334,0.010000000000005116,0.0,134094.0,1117.45,1117.45,1117.45,1117.45,17.879182091615462,120.0,0.0,0.0,False,False,False
wifi_full-045-1770416663,wlan0,192.168.2.100,1883,replication,20,50.0,0,256,60.0,60000.0,3000.0,17734683.0,2364.6221535301447,0.39000000000000057,1.7000000000000002,60.00005700199972,0.0,1770416663103748558,1770416723601046466,60000,15360000,2.241976,27.00601809999996,64.50617491000027,348.006554,7.27130578075,2.0900000000000007,0.0,17734683.0,295.57805,295.57805,5911.561,5911.561,2364.6221535301447,60000.0,0.0,0.0,False,False,False
wifi_full-060-1770417593,wlan0,192.168.2.100,1883,replication,50,50.0,1,1024,60.0,150000.0,3000.0,135391768.0,18052.216853422382,9.270000000000003,1.3100000000000005,60.00006275099986,0.0,1770417593122156605,1770417653628203622,122260,125194240,4417.6236455,10446.3438775,10536.57326372,11109.444999,4838.4263579998205,10.580000000000004,0.0,135391768.0,902.6117866666667,902.6117866666667,45130.58933333333,45130.58933333333,18052.216853422382,150000.0,0.18493333333333328,0.18493333333333328,False,False,False
wifi_full-064-1770417841,wlan0,192.168.2.100,1883,uns,1,2.0,1,1024,60.0,120.0,120.0,142280.0,18.970644932314887,0.009999999999990905,0.009999999999999787,60.00006874100018,0.0,1770417841126846020,1770417901627027481,120,122880,2.7660595,4.565523999999998,6.484826800000002,210.829042,4.756221083333334,0.019999999999990692,0.0,142280.0,1185.6666666666667,1185.6666666666667,1185.6666666666667,1185.6666666666667,18.970644932314887,120.0,0.0,0.0,False,False,False
wifi_full-079-1770418771,wlan0,192.168.2.100,1883,uns,5,10.0,1,256,60.0,600.0,600.0,244544.0,32.605833628262275,0.0,0.11999999999999922,60.00006079600007,0.0,1770418771145014569,1770418831645478855,600,153600,2.6536785,5.6664787,114.39938805999999,215.37241,5.249677581666666,0.11999999999999922,0.0,244544.0,407.5733333333333,407.5733333333333,407.5733333333333,407.5733333333333,32.605833628262275,600.0,0.0,0.0,False,False,False
wifi_full-104-1770420321,wlan0,192.168.2.100,1883,uns,20,10.0,1,1024,60.0,600.0,600.0,710854.0,94.78044169644227,0.0799999999999983,0.03999999999999915,60.00005801000043,0.0,1770420321174122066,1770420381675345855,600,614400,2.0162595,4.986391449999998,119.38327493999923,218.456602,5.345758926666666,0.11999999999999744,0.0,710854.0,1184.7566666666667,1184.7566666666667,1184.7566666666667,1184.7566666666667,94.78044169644227,600.0,0.0,0.0,False,False,False
wifi_full-028-1770415609,wlan0,192.168.2.100,1883,replication,10,2.0,1,1024,60.0,1200.0,120.0,1355438.0,180.72487457118555,0.10000000000000053,0.020000000000000018,60.000063774999944,0.0,1770415609084007222,1770415669584615745,1200,1228800,6.9069994999999995,11.90843565,39.63331647,223.376929,8.14505854,0.12000000000000055,0.0,1355438.0,1129.5316666666668,1129.5316666666668,11295.316666666668,11295.316666666668,180.72487457118555,1200.0,0.0,0.0,False,False,False
wifi_full-086-1770419205,wlan0,192.168.2.100,1883,uns,10,2.0,0,1024,60.0,120.0,120.0,132988.0,17.73171482024079,0.0,0.019999999999999574,60.000062644000536,0.0,1770419205154608519,1770419265654351756,120,122880,2.360727,4.192129649999999,5.233787600000001,5.348633,2.5664054333333337,0.019999999999999574,0.0,132988.0,1108.2333333333333,1108.2333333333333,1108.2333333333333,1108.2333333333333,17.73171482024079,120.0,0.0,0.0,False,False,False
